batch_size:128
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.3
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.0001
lr:0.001
maxlen:50
num_blocks:3
num_epochs:121
num_heads:2
state_dict_path:None
time_span:256
train_dir:default

Valid epoch:52, time: 221.848322(s), NDCG (@2: 0.1235, @5: 0.1617, @10: 0.1848), Recall (@2: 0.1425, @5: 0.2270, @10: 0.2988)
Test epoch:52, time: 221.848322(s), NDCG (@2: 0.1346, @5: 0.1737, @10: 0.1957), Recall (@2: 0.1537, @5: 0.2417, @10: 0.3100)

Valid epoch:54, time: 230.463345(s), NDCG (@2: 0.1225, @5: 0.1622, @10: 0.1843), Recall (@2: 0.1425, @5: 0.2305, @10: 0.2991)
Test epoch:54, time: 230.463345(s), NDCG (@2: 0.1366, @5: 0.1762, @10: 0.1998), Recall (@2: 0.1552, @5: 0.2439, @10: 0.3169)

Valid epoch:56, time: 238.949043(s), NDCG (@2: 0.1240, @5: 0.1636, @10: 0.1861), Recall (@2: 0.1429, @5: 0.2305, @10: 0.3006)
Test epoch:56, time: 238.949043(s), NDCG (@2: 0.1378, @5: 0.1740, @10: 0.1972), Recall (@2: 0.1580, @5: 0.2391, @10: 0.3109)

Valid epoch:58, time: 247.456379(s), NDCG (@2: 0.1244, @5: 0.1640, @10: 0.1880), Recall (@2: 0.1434, @5: 0.2309, @10: 0.3062)
Test epoch:58, time: 247.456379(s), NDCG (@2: 0.1399, @5: 0.1780, @10: 0.2012), Recall (@2: 0.1591, @5: 0.2445, @10: 0.3163)

Valid epoch:60, time: 255.945122(s), NDCG (@2: 0.1230, @5: 0.1619, @10: 0.1855), Recall (@2: 0.1419, @5: 0.2277, @10: 0.3010)
Test epoch:60, time: 255.945122(s), NDCG (@2: 0.1343, @5: 0.1698, @10: 0.1927), Recall (@2: 0.1533, @5: 0.2320, @10: 0.3029)

Valid epoch:62, time: 264.437989(s), NDCG (@2: 0.1248, @5: 0.1631, @10: 0.1863), Recall (@2: 0.1447, @5: 0.2301, @10: 0.3023)
Test epoch:62, time: 264.437989(s), NDCG (@2: 0.1371, @5: 0.1745, @10: 0.1971), Recall (@2: 0.1557, @5: 0.2395, @10: 0.3096)

Valid epoch:64, time: 273.079518(s), NDCG (@2: 0.1249, @5: 0.1648, @10: 0.1881), Recall (@2: 0.1451, @5: 0.2335, @10: 0.3060)
Test epoch:64, time: 273.079518(s), NDCG (@2: 0.1426, @5: 0.1795, @10: 0.2041), Recall (@2: 0.1636, @5: 0.2458, @10: 0.3221)

Valid epoch:66, time: 281.683868(s), NDCG (@2: 0.1230, @5: 0.1622, @10: 0.1850), Recall (@2: 0.1419, @5: 0.2298, @10: 0.3003)
Test epoch:66, time: 281.683868(s), NDCG (@2: 0.1401, @5: 0.1761, @10: 0.1987), Recall (@2: 0.1600, @5: 0.2404, @10: 0.3107)

Valid epoch:68, time: 290.177552(s), NDCG (@2: 0.1247, @5: 0.1618, @10: 0.1855), Recall (@2: 0.1449, @5: 0.2281, @10: 0.3010)
Test epoch:68, time: 290.177552(s), NDCG (@2: 0.1394, @5: 0.1750, @10: 0.1976), Recall (@2: 0.1598, @5: 0.2395, @10: 0.3096)

Valid epoch:70, time: 298.667949(s), NDCG (@2: 0.1244, @5: 0.1632, @10: 0.1862), Recall (@2: 0.1438, @5: 0.2305, @10: 0.3016)
Test epoch:70, time: 298.667949(s), NDCG (@2: 0.1362, @5: 0.1737, @10: 0.1982), Recall (@2: 0.1548, @5: 0.2385, @10: 0.3144)

Valid epoch:72, time: 307.183942(s), NDCG (@2: 0.1226, @5: 0.1622, @10: 0.1849), Recall (@2: 0.1421, @5: 0.2303, @10: 0.3008)
Test epoch:72, time: 307.183942(s), NDCG (@2: 0.1383, @5: 0.1745, @10: 0.1975), Recall (@2: 0.1578, @5: 0.2387, @10: 0.3096)

Valid epoch:74, time: 315.878842(s), NDCG (@2: 0.1237, @5: 0.1613, @10: 0.1854), Recall (@2: 0.1434, @5: 0.2264, @10: 0.3010)
Test epoch:74, time: 315.878842(s), NDCG (@2: 0.1383, @5: 0.1750, @10: 0.1980), Recall (@2: 0.1585, @5: 0.2406, @10: 0.3122)

Valid epoch:76, time: 324.427058(s), NDCG (@2: 0.1243, @5: 0.1646, @10: 0.1875), Recall (@2: 0.1432, @5: 0.2329, @10: 0.3042)
Test epoch:76, time: 324.427058(s), NDCG (@2: 0.1375, @5: 0.1766, @10: 0.1988), Recall (@2: 0.1555, @5: 0.2434, @10: 0.3124)

Valid epoch:78, time: 332.932416(s), NDCG (@2: 0.1248, @5: 0.1621, @10: 0.1871), Recall (@2: 0.1442, @5: 0.2270, @10: 0.3044)
Test epoch:78, time: 332.932416(s), NDCG (@2: 0.1344, @5: 0.1711, @10: 0.1955), Recall (@2: 0.1535, @5: 0.2357, @10: 0.3118)

Valid epoch:80, time: 341.458035(s), NDCG (@2: 0.1224, @5: 0.1607, @10: 0.1848), Recall (@2: 0.1421, @5: 0.2277, @10: 0.3027)
Test epoch:80, time: 341.458035(s), NDCG (@2: 0.1342, @5: 0.1713, @10: 0.1942), Recall (@2: 0.1544, @5: 0.2365, @10: 0.3079)

Valid epoch:82, time: 349.987235(s), NDCG (@2: 0.1228, @5: 0.1610, @10: 0.1854), Recall (@2: 0.1427, @5: 0.2275, @10: 0.3034)
Test epoch:82, time: 349.987235(s), NDCG (@2: 0.1377, @5: 0.1720, @10: 0.1961), Recall (@2: 0.1572, @5: 0.2339, @10: 0.3081)

Valid epoch:84, time: 358.655172(s), NDCG (@2: 0.1220, @5: 0.1623, @10: 0.1853), Recall (@2: 0.1412, @5: 0.2313, @10: 0.3025)
Test epoch:84, time: 358.655172(s), NDCG (@2: 0.1347, @5: 0.1717, @10: 0.1944), Recall (@2: 0.1557, @5: 0.2387, @10: 0.3092)

Valid epoch:86, time: 367.205398(s), NDCG (@2: 0.1248, @5: 0.1631, @10: 0.1872), Recall (@2: 0.1436, @5: 0.2288, @10: 0.3040)
Test epoch:86, time: 367.205398(s), NDCG (@2: 0.1380, @5: 0.1761, @10: 0.1996), Recall (@2: 0.1572, @5: 0.2419, @10: 0.3150)

Valid epoch:88, time: 375.689258(s), NDCG (@2: 0.1235, @5: 0.1615, @10: 0.1856), Recall (@2: 0.1423, @5: 0.2264, @10: 0.3014)
Test epoch:88, time: 375.689258(s), NDCG (@2: 0.1351, @5: 0.1716, @10: 0.1954), Recall (@2: 0.1555, @5: 0.2367, @10: 0.3105)

Valid epoch:90, time: 384.222021(s), NDCG (@2: 0.1233, @5: 0.1617, @10: 0.1857), Recall (@2: 0.1417, @5: 0.2273, @10: 0.3016)
Test epoch:90, time: 384.222021(s), NDCG (@2: 0.1358, @5: 0.1719, @10: 0.1961), Recall (@2: 0.1565, @5: 0.2378, @10: 0.3129)

Valid epoch:92, time: 392.705282(s), NDCG (@2: 0.1236, @5: 0.1622, @10: 0.1878), Recall (@2: 0.1419, @5: 0.2281, @10: 0.3079)
Test epoch:92, time: 392.705282(s), NDCG (@2: 0.1384, @5: 0.1742, @10: 0.1973), Recall (@2: 0.1604, @5: 0.2400, @10: 0.3118)

Valid epoch:94, time: 401.251930(s), NDCG (@2: 0.1217, @5: 0.1617, @10: 0.1853), Recall (@2: 0.1406, @5: 0.2301, @10: 0.3034)
Test epoch:94, time: 401.251930(s), NDCG (@2: 0.1360, @5: 0.1713, @10: 0.1947), Recall (@2: 0.1559, @5: 0.2354, @10: 0.3081)

Valid epoch:96, time: 409.825396(s), NDCG (@2: 0.1260, @5: 0.1631, @10: 0.1866), Recall (@2: 0.1458, @5: 0.2281, @10: 0.3008)
Test epoch:96, time: 409.825396(s), NDCG (@2: 0.1354, @5: 0.1731, @10: 0.1958), Recall (@2: 0.1548, @5: 0.2389, @10: 0.3094)

Valid epoch:98, time: 418.310901(s), NDCG (@2: 0.1205, @5: 0.1601, @10: 0.1838), Recall (@2: 0.1391, @5: 0.2270, @10: 0.3001)
Test epoch:98, time: 418.310901(s), NDCG (@2: 0.1332, @5: 0.1708, @10: 0.1923), Recall (@2: 0.1507, @5: 0.2344, @10: 0.3006)

Valid epoch:100, time: 426.842090(s), NDCG (@2: 0.1230, @5: 0.1626, @10: 0.1862), Recall (@2: 0.1404, @5: 0.2281, @10: 0.3014)
Test epoch:100, time: 426.842090(s), NDCG (@2: 0.1341, @5: 0.1709, @10: 0.1945), Recall (@2: 0.1527, @5: 0.2346, @10: 0.3079)

Valid epoch:102, time: 435.366774(s), NDCG (@2: 0.1203, @5: 0.1617, @10: 0.1840), Recall (@2: 0.1380, @5: 0.2301, @10: 0.2986)
Test epoch:102, time: 435.366774(s), NDCG (@2: 0.1324, @5: 0.1701, @10: 0.1941), Recall (@2: 0.1516, @5: 0.2352, @10: 0.3096)

Valid epoch:104, time: 443.951859(s), NDCG (@2: 0.1225, @5: 0.1626, @10: 0.1873), Recall (@2: 0.1408, @5: 0.2296, @10: 0.3062)
Test epoch:104, time: 443.951859(s), NDCG (@2: 0.1345, @5: 0.1711, @10: 0.1947), Recall (@2: 0.1535, @5: 0.2350, @10: 0.3083)

Valid epoch:106, time: 452.582862(s), NDCG (@2: 0.1215, @5: 0.1599, @10: 0.1837), Recall (@2: 0.1397, @5: 0.2251, @10: 0.2986)
Test epoch:106, time: 452.582862(s), NDCG (@2: 0.1329, @5: 0.1682, @10: 0.1924), Recall (@2: 0.1520, @5: 0.2298, @10: 0.3049)

Valid epoch:108, time: 461.119664(s), NDCG (@2: 0.1228, @5: 0.1609, @10: 0.1834), Recall (@2: 0.1432, @5: 0.2275, @10: 0.2971)
Test epoch:108, time: 461.119664(s), NDCG (@2: 0.1330, @5: 0.1680, @10: 0.1914), Recall (@2: 0.1516, @5: 0.2296, @10: 0.3027)

Valid epoch:110, time: 469.616177(s), NDCG (@2: 0.1216, @5: 0.1618, @10: 0.1854), Recall (@2: 0.1397, @5: 0.2285, @10: 0.3021)
Test epoch:110, time: 469.616177(s), NDCG (@2: 0.1355, @5: 0.1713, @10: 0.1945), Recall (@2: 0.1557, @5: 0.2357, @10: 0.3077)

Valid epoch:112, time: 478.100074(s), NDCG (@2: 0.1236, @5: 0.1619, @10: 0.1859), Recall (@2: 0.1423, @5: 0.2277, @10: 0.3023)
Test epoch:112, time: 478.100074(s), NDCG (@2: 0.1335, @5: 0.1699, @10: 0.1937), Recall (@2: 0.1520, @5: 0.2324, @10: 0.3062)

Valid epoch:114, time: 486.577745(s), NDCG (@2: 0.1183, @5: 0.1594, @10: 0.1819), Recall (@2: 0.1371, @5: 0.2279, @10: 0.2975)
Test epoch:114, time: 486.577745(s), NDCG (@2: 0.1378, @5: 0.1739, @10: 0.1971), Recall (@2: 0.1578, @5: 0.2385, @10: 0.3107)

Valid epoch:116, time: 495.309867(s), NDCG (@2: 0.1203, @5: 0.1588, @10: 0.1827), Recall (@2: 0.1378, @5: 0.2229, @10: 0.2971)
Test epoch:116, time: 495.309867(s), NDCG (@2: 0.1326, @5: 0.1697, @10: 0.1921), Recall (@2: 0.1516, @5: 0.2346, @10: 0.3042)

Valid epoch:118, time: 503.864813(s), NDCG (@2: 0.1202, @5: 0.1598, @10: 0.1837), Recall (@2: 0.1389, @5: 0.2270, @10: 0.3010)
Test epoch:118, time: 503.864813(s), NDCG (@2: 0.1370, @5: 0.1728, @10: 0.1964), Recall (@2: 0.1561, @5: 0.2357, @10: 0.3085)

Valid epoch:120, time: 512.357237(s), NDCG (@2: 0.1250, @5: 0.1628, @10: 0.1864), Recall (@2: 0.1429, @5: 0.2268, @10: 0.3001)
Test epoch:120, time: 512.357237(s), NDCG (@2: 0.1345, @5: 0.1701, @10: 0.1944), Recall (@2: 0.1535, @5: 0.2322, @10: 0.3075)
