anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default

Test epoch:152, time: 629.187755(s), NDCG (@2: 0.1338, @5: 0.1693, @10: 0.1898), Recall (@2: 0.1516, @5: 0.2311, @10: 0.2947)

Valid epoch:154, time: 637.558648(s), NDCG (@2: 0.1123, @5: 0.1465, @10: 0.1686), Recall (@2: 0.1300, @5: 0.2063, @10: 0.2749)
Test epoch:154, time: 637.558648(s), NDCG (@2: 0.1178, @5: 0.1541, @10: 0.1754), Recall (@2: 0.1345, @5: 0.2152, @10: 0.2812)

Valid epoch:156, time: 645.651756(s), NDCG (@2: 0.1152, @5: 0.1496, @10: 0.1723), Recall (@2: 0.1345, @5: 0.2122, @10: 0.2829)
Test epoch:156, time: 645.651756(s), NDCG (@2: 0.1256, @5: 0.1631, @10: 0.1829), Recall (@2: 0.1427, @5: 0.2264, @10: 0.2878)

Valid epoch:158, time: 653.659182(s), NDCG (@2: 0.1138, @5: 0.1504, @10: 0.1726), Recall (@2: 0.1313, @5: 0.2128, @10: 0.2820)
Test epoch:158, time: 653.659182(s), NDCG (@2: 0.1211, @5: 0.1577, @10: 0.1777), Recall (@2: 0.1401, @5: 0.2210, @10: 0.2831)

Valid epoch:160, time: 661.802471(s), NDCG (@2: 0.1146, @5: 0.1523, @10: 0.1741), Recall (@2: 0.1322, @5: 0.2160, @10: 0.2835)
Test epoch:160, time: 661.802471(s), NDCG (@2: 0.1260, @5: 0.1632, @10: 0.1860), Recall (@2: 0.1419, @5: 0.2251, @10: 0.2954)

Valid epoch:162, time: 669.542760(s), NDCG (@2: 0.1125, @5: 0.1477, @10: 0.1707), Recall (@2: 0.1304, @5: 0.2078, @10: 0.2792)
Test epoch:162, time: 669.542760(s), NDCG (@2: 0.1190, @5: 0.1540, @10: 0.1765), Recall (@2: 0.1369, @5: 0.2143, @10: 0.2840)

Valid epoch:164, time: 677.808826(s), NDCG (@2: 0.1172, @5: 0.1520, @10: 0.1736), Recall (@2: 0.1348, @5: 0.2122, @10: 0.2790)
