anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:48, time: 514.910461(s), Recall (@2: 0.1373, @5: 0.2184, @10: 0.2911), NDCG (@2: 0.1204, @5: 0.1566, @10: 0.1801)
Test epoch:48, time: 514.910461(s), Recall (@2: 0.1401, @5: 0.2210, @10: 0.2973), NDCG (@2: 0.1222, @5: 0.1587, @10: 0.1834)

Valid epoch:50, time: 528.308256(s), Recall (@2: 0.1378, @5: 0.2199, @10: 0.2911), NDCG (@2: 0.1196, @5: 0.1563, @10: 0.1794)
Test epoch:50, time: 528.308256(s), Recall (@2: 0.1419, @5: 0.2165, @10: 0.2943), NDCG (@2: 0.1243, @5: 0.1574, @10: 0.1826)

Valid epoch:52, time: 542.606584(s), Recall (@2: 0.1358, @5: 0.2154, @10: 0.2889), NDCG (@2: 0.1184, @5: 0.1543, @10: 0.1781)
Test epoch:52, time: 542.606584(s), Recall (@2: 0.1412, @5: 0.2176, @10: 0.2941), NDCG (@2: 0.1230, @5: 0.1568, @10: 0.1815)

Valid epoch:54, time: 556.786896(s), Recall (@2: 0.1401, @5: 0.2195, @10: 0.2863), NDCG (@2: 0.1200, @5: 0.1554, @10: 0.1771)
Test epoch:54, time: 556.786896(s), Recall (@2: 0.1423, @5: 0.2238, @10: 0.2975), NDCG (@2: 0.1242, @5: 0.1602, @10: 0.1840)

Valid epoch:56, time: 570.884211(s), Recall (@2: 0.1371, @5: 0.2184, @10: 0.2876), NDCG (@2: 0.1184, @5: 0.1549, @10: 0.1773)
Test epoch:56, time: 570.884211(s), Recall (@2: 0.1401, @5: 0.2201, @10: 0.2906), NDCG (@2: 0.1218, @5: 0.1577, @10: 0.1805)

Valid epoch:58, time: 585.427375(s), Recall (@2: 0.1432, @5: 0.2242, @10: 0.2932), NDCG (@2: 0.1242, @5: 0.1605, @10: 0.1829)
Test epoch:58, time: 585.427375(s), Recall (@2: 0.1488, @5: 0.2316, @10: 0.3053), NDCG (@2: 0.1304, @5: 0.1672, @10: 0.1909)

Valid epoch:60, time: 599.580604(s), Recall (@2: 0.1367, @5: 0.2238, @10: 0.2932), NDCG (@2: 0.1193, @5: 0.1580, @10: 0.1804)
Test epoch:60, time: 599.580604(s), Recall (@2: 0.1391, @5: 0.2225, @10: 0.2980), NDCG (@2: 0.1235, @5: 0.1607, @10: 0.1852)

Valid epoch:62, time: 614.007293(s), Recall (@2: 0.1369, @5: 0.2176, @10: 0.2954), NDCG (@2: 0.1196, @5: 0.1561, @10: 0.1812)
Test epoch:62, time: 614.007293(s), Recall (@2: 0.1393, @5: 0.2199, @10: 0.2943), NDCG (@2: 0.1229, @5: 0.1589, @10: 0.1830)

Valid epoch:64, time: 628.333261(s), Recall (@2: 0.1371, @5: 0.2145, @10: 0.2878), NDCG (@2: 0.1207, @5: 0.1553, @10: 0.1789)
Test epoch:64, time: 628.333261(s), Recall (@2: 0.1410, @5: 0.2214, @10: 0.2941), NDCG (@2: 0.1239, @5: 0.1596, @10: 0.1830)

Valid epoch:66, time: 642.850929(s), Recall (@2: 0.1404, @5: 0.2160, @10: 0.2850), NDCG (@2: 0.1212, @5: 0.1555, @10: 0.1778)
Test epoch:66, time: 642.850929(s), Recall (@2: 0.1361, @5: 0.2163, @10: 0.2874), NDCG (@2: 0.1194, @5: 0.1558, @10: 0.1788)

Valid epoch:68, time: 657.318053(s), Recall (@2: 0.1365, @5: 0.2173, @10: 0.2872), NDCG (@2: 0.1175, @5: 0.1536, @10: 0.1762)
