anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:4
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:66, time: 220.952058(s), Recall (@2: 0.1294, @5: 0.2104, @10: 0.2924), NDCG (@2: 0.1123, @5: 0.1491, @10: 0.1755)
Test epoch:66, time: 220.952058(s), Recall (@2: 0.1421, @5: 0.2221, @10: 0.2995), NDCG (@2: 0.1243, @5: 0.1600, @10: 0.1849)

Valid epoch:68, time: 228.939183(s), Recall (@2: 0.1283, @5: 0.2096, @10: 0.2902), NDCG (@2: 0.1119, @5: 0.1484, @10: 0.1744)
Test epoch:68, time: 228.939183(s), Recall (@2: 0.1442, @5: 0.2216, @10: 0.2943), NDCG (@2: 0.1276, @5: 0.1624, @10: 0.1859)

Valid epoch:70, time: 235.342133(s), Recall (@2: 0.1330, @5: 0.2102, @10: 0.2827), NDCG (@2: 0.1152, @5: 0.1499, @10: 0.1733)
Test epoch:70, time: 235.342133(s), Recall (@2: 0.1442, @5: 0.2204, @10: 0.2975), NDCG (@2: 0.1259, @5: 0.1602, @10: 0.1851)

Valid epoch:72, time: 241.274528(s), Recall (@2: 0.1348, @5: 0.2169, @10: 0.2896), NDCG (@2: 0.1165, @5: 0.1531, @10: 0.1765)
Test epoch:72, time: 241.274528(s), Recall (@2: 0.1436, @5: 0.2232, @10: 0.2950), NDCG (@2: 0.1271, @5: 0.1628, @10: 0.1859)

Valid epoch:74, time: 247.307647(s), Recall (@2: 0.1345, @5: 0.2154, @10: 0.2887), NDCG (@2: 0.1166, @5: 0.1527, @10: 0.1764)
Test epoch:74, time: 247.307647(s), Recall (@2: 0.1434, @5: 0.2214, @10: 0.2950), NDCG (@2: 0.1252, @5: 0.1600, @10: 0.1837)

Valid epoch:76, time: 253.257249(s), Recall (@2: 0.1354, @5: 0.2147, @10: 0.2893), NDCG (@2: 0.1173, @5: 0.1527, @10: 0.1769)
Test epoch:76, time: 253.257249(s), Recall (@2: 0.1404, @5: 0.2186, @10: 0.2865), NDCG (@2: 0.1228, @5: 0.1576, @10: 0.1795)

Valid epoch:78, time: 259.348292(s), Recall (@2: 0.1363, @5: 0.2152, @10: 0.2904), NDCG (@2: 0.1165, @5: 0.1518, @10: 0.1762)
Test epoch:78, time: 259.348292(s), Recall (@2: 0.1386, @5: 0.2197, @10: 0.2967), NDCG (@2: 0.1204, @5: 0.1569, @10: 0.1817)

Valid epoch:80, time: 265.851488(s), Recall (@2: 0.1348, @5: 0.2122, @10: 0.2883), NDCG (@2: 0.1169, @5: 0.1515, @10: 0.1761)
Test epoch:80, time: 265.851488(s), Recall (@2: 0.1406, @5: 0.2197, @10: 0.2947), NDCG (@2: 0.1217, @5: 0.1575, @10: 0.1818)

Valid epoch:82, time: 272.085525(s), Recall (@2: 0.1326, @5: 0.2156, @10: 0.2840), NDCG (@2: 0.1139, @5: 0.1513, @10: 0.1733)
Test epoch:82, time: 272.085525(s), Recall (@2: 0.1410, @5: 0.2169, @10: 0.2863), NDCG (@2: 0.1226, @5: 0.1568, @10: 0.1792)

Valid epoch:84, time: 278.084395(s), Recall (@2: 0.1341, @5: 0.2132, @10: 0.2822), NDCG (@2: 0.1159, @5: 0.1515, @10: 0.1738)
Test epoch:84, time: 278.084395(s), Recall (@2: 0.1354, @5: 0.2063, @10: 0.2796), NDCG (@2: 0.1187, @5: 0.1508, @10: 0.1746)

Valid epoch:86, time: 284.077509(s), Recall (@2: 0.1332, @5: 0.2186, @10: 0.2868), NDCG (@2: 0.1152, @5: 0.1537, @10: 0.1757)
Test epoch:86, time: 284.077509(s), Recall (@2: 0.1438, @5: 0.2193, @10: 0.2837), NDCG (@2: 0.1257, @5: 0.1595, @10: 0.1803)

Valid epoch:88, time: 289.930777(s), Recall (@2: 0.1326, @5: 0.2128, @10: 0.2833), NDCG (@2: 0.1156, @5: 0.1513, @10: 0.1740)
Test epoch:88, time: 289.930777(s), Recall (@2: 0.1417, @5: 0.2193, @10: 0.2900), NDCG (@2: 0.1252, @5: 0.1603, @10: 0.1830)

Valid epoch:90, time: 296.258700(s), Recall (@2: 0.1313, @5: 0.2126, @10: 0.2814), NDCG (@2: 0.1146, @5: 0.1511, @10: 0.1734)
Test epoch:90, time: 296.258700(s), Recall (@2: 0.1470, @5: 0.2262, @10: 0.2947), NDCG (@2: 0.1292, @5: 0.1643, @10: 0.1864)

Valid epoch:92, time: 302.439000(s), Recall (@2: 0.1307, @5: 0.2119, @10: 0.2835), NDCG (@2: 0.1138, @5: 0.1499, @10: 0.1730)
Test epoch:92, time: 302.439000(s), Recall (@2: 0.1460, @5: 0.2184, @10: 0.2937), NDCG (@2: 0.1281, @5: 0.1603, @10: 0.1846)

Valid epoch:94, time: 308.714428(s), Recall (@2: 0.1313, @5: 0.2165, @10: 0.2807), NDCG (@2: 0.1136, @5: 0.1516, @10: 0.1723)
Test epoch:94, time: 308.714428(s), Recall (@2: 0.1429, @5: 0.2223, @10: 0.2904), NDCG (@2: 0.1258, @5: 0.1609, @10: 0.1829)

Valid epoch:96, time: 314.780111(s), Recall (@2: 0.1350, @5: 0.2094, @10: 0.2833), NDCG (@2: 0.1171, @5: 0.1508, @10: 0.1747)
Test epoch:96, time: 314.780111(s), Recall (@2: 0.1391, @5: 0.2085, @10: 0.2790), NDCG (@2: 0.1228, @5: 0.1540, @10: 0.1768)

Valid epoch:98, time: 320.772667(s), Recall (@2: 0.1285, @5: 0.2130, @10: 0.2833), NDCG (@2: 0.1118, @5: 0.1498, @10: 0.1723)
Test epoch:98, time: 320.772667(s), Recall (@2: 0.1445, @5: 0.2154, @10: 0.2859), NDCG (@2: 0.1265, @5: 0.1580, @10: 0.1808)

Valid epoch:100, time: 327.083236(s), Recall (@2: 0.1332, @5: 0.2122, @10: 0.2865), NDCG (@2: 0.1148, @5: 0.1503, @10: 0.1742)
Test epoch:100, time: 327.083236(s), Recall (@2: 0.1404, @5: 0.2197, @10: 0.2857), NDCG (@2: 0.1225, @5: 0.1583, @10: 0.1796)

Valid epoch:102, time: 335.039928(s), Recall (@2: 0.1328, @5: 0.2122, @10: 0.2812), NDCG (@2: 0.1150, @5: 0.1508, @10: 0.1731)
Test epoch:102, time: 335.039928(s), Recall (@2: 0.1440, @5: 0.2212, @10: 0.2855), NDCG (@2: 0.1272, @5: 0.1617, @10: 0.1824)

Valid epoch:104, time: 342.722565(s), Recall (@2: 0.1337, @5: 0.2063, @10: 0.2788), NDCG (@2: 0.1147, @5: 0.1471, @10: 0.1704)
Test epoch:104, time: 342.722565(s), Recall (@2: 0.1460, @5: 0.2199, @10: 0.2857), NDCG (@2: 0.1283, @5: 0.1611, @10: 0.1824)

Valid epoch:106, time: 350.487512(s), Recall (@2: 0.1307, @5: 0.2111, @10: 0.2816), NDCG (@2: 0.1119, @5: 0.1481, @10: 0.1709)
Test epoch:106, time: 350.487512(s), Recall (@2: 0.1434, @5: 0.2216, @10: 0.2900), NDCG (@2: 0.1274, @5: 0.1624, @10: 0.1845)

Valid epoch:108, time: 358.189101(s), Recall (@2: 0.1302, @5: 0.2102, @10: 0.2784), NDCG (@2: 0.1135, @5: 0.1496, @10: 0.1715)
