anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:3
dis_span:128
dropout_rate:0.2
gpu:3
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:68, time: 225.930290(s), Recall (@2: 0.1384, @5: 0.2279, @10: 0.2937), NDCG (@2: 0.1200, @5: 0.1601, @10: 0.1814)
Test epoch:68, time: 225.930290(s), Recall (@2: 0.1574, @5: 0.2391, @10: 0.3105), NDCG (@2: 0.1370, @5: 0.1739, @10: 0.1970)

Valid epoch:70, time: 232.642834(s), Recall (@2: 0.1348, @5: 0.2158, @10: 0.2853), NDCG (@2: 0.1175, @5: 0.1536, @10: 0.1761)
Test epoch:70, time: 232.642834(s), Recall (@2: 0.1451, @5: 0.2180, @10: 0.2881), NDCG (@2: 0.1278, @5: 0.1600, @10: 0.1828)

Valid epoch:72, time: 239.561251(s), Recall (@2: 0.1341, @5: 0.2139, @10: 0.2919), NDCG (@2: 0.1156, @5: 0.1514, @10: 0.1764)
Test epoch:72, time: 239.561251(s), Recall (@2: 0.1462, @5: 0.2195, @10: 0.2904), NDCG (@2: 0.1275, @5: 0.1603, @10: 0.1832)

Valid epoch:74, time: 246.387184(s), Recall (@2: 0.1335, @5: 0.2154, @10: 0.2865), NDCG (@2: 0.1160, @5: 0.1528, @10: 0.1758)
Test epoch:74, time: 246.387184(s), Recall (@2: 0.1479, @5: 0.2238, @10: 0.2980), NDCG (@2: 0.1279, @5: 0.1619, @10: 0.1859)

Valid epoch:76, time: 253.324397(s), Recall (@2: 0.1369, @5: 0.2173, @10: 0.2924), NDCG (@2: 0.1185, @5: 0.1545, @10: 0.1787)
Test epoch:76, time: 253.324397(s), Recall (@2: 0.1453, @5: 0.2251, @10: 0.2962), NDCG (@2: 0.1277, @5: 0.1636, @10: 0.1866)

Valid epoch:78, time: 260.261739(s), Recall (@2: 0.1365, @5: 0.2152, @10: 0.2887), NDCG (@2: 0.1182, @5: 0.1533, @10: 0.1772)
Test epoch:78, time: 260.261739(s), Recall (@2: 0.1436, @5: 0.2163, @10: 0.2840), NDCG (@2: 0.1257, @5: 0.1580, @10: 0.1798)

Valid epoch:80, time: 267.398659(s), Recall (@2: 0.1380, @5: 0.2180, @10: 0.2965), NDCG (@2: 0.1187, @5: 0.1545, @10: 0.1797)
Test epoch:80, time: 267.398659(s), Recall (@2: 0.1477, @5: 0.2316, @10: 0.2973), NDCG (@2: 0.1291, @5: 0.1669, @10: 0.1882)

Valid epoch:82, time: 274.291947(s), Recall (@2: 0.1317, @5: 0.2195, @10: 0.2919), NDCG (@2: 0.1143, @5: 0.1536, @10: 0.1771)
Test epoch:82, time: 274.291947(s), Recall (@2: 0.1401, @5: 0.2135, @10: 0.2865), NDCG (@2: 0.1243, @5: 0.1569, @10: 0.1804)

Valid epoch:84, time: 281.893936(s), Recall (@2: 0.1332, @5: 0.2201, @10: 0.2902), NDCG (@2: 0.1148, @5: 0.1541, @10: 0.1768)
Test epoch:84, time: 281.893936(s), Recall (@2: 0.1490, @5: 0.2264, @10: 0.3003), NDCG (@2: 0.1308, @5: 0.1658, @10: 0.1898)

