anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:128
train_dir:default
valid_epoch:2

Valid epoch:60, time: 207.008034(s), Recall (@2: 0.1352, @5: 0.2195, @10: 0.2932), NDCG (@2: 0.1190, @5: 0.1564, @10: 0.1802)
Test epoch:60, time: 207.008034(s), Recall (@2: 0.1460, @5: 0.2296, @10: 0.2980), NDCG (@2: 0.1278, @5: 0.1654, @10: 0.1876)

Valid epoch:62, time: 214.537033(s), Recall (@2: 0.1354, @5: 0.2216, @10: 0.2922), NDCG (@2: 0.1171, @5: 0.1556, @10: 0.1783)
Test epoch:62, time: 214.537033(s), Recall (@2: 0.1477, @5: 0.2311, @10: 0.3038), NDCG (@2: 0.1307, @5: 0.1682, @10: 0.1915)

Valid epoch:64, time: 222.057426(s), Recall (@2: 0.1356, @5: 0.2169, @10: 0.2850), NDCG (@2: 0.1181, @5: 0.1543, @10: 0.1763)
Test epoch:64, time: 222.057426(s), Recall (@2: 0.1442, @5: 0.2223, @10: 0.2941), NDCG (@2: 0.1269, @5: 0.1619, @10: 0.1850)

Valid epoch:66, time: 229.754269(s), Recall (@2: 0.1341, @5: 0.2163, @10: 0.2917), NDCG (@2: 0.1156, @5: 0.1525, @10: 0.1769)
Test epoch:66, time: 229.754269(s), Recall (@2: 0.1440, @5: 0.2240, @10: 0.2909), NDCG (@2: 0.1282, @5: 0.1645, @10: 0.1860)

Valid epoch:68, time: 237.243006(s), Recall (@2: 0.1384, @5: 0.2195, @10: 0.2969), NDCG (@2: 0.1200, @5: 0.1565, @10: 0.1816)
Test epoch:68, time: 237.243006(s), Recall (@2: 0.1583, @5: 0.2419, @10: 0.3120), NDCG (@2: 0.1392, @5: 0.1766, @10: 0.1991)

Valid epoch:70, time: 245.033015(s), Recall (@2: 0.1363, @5: 0.2156, @10: 0.2893), NDCG (@2: 0.1188, @5: 0.1542, @10: 0.1780)
Test epoch:70, time: 245.033015(s), Recall (@2: 0.1445, @5: 0.2204, @10: 0.2900), NDCG (@2: 0.1268, @5: 0.1608, @10: 0.1834)

Valid epoch:72, time: 252.924932(s), Recall (@2: 0.1341, @5: 0.2208, @10: 0.2904), NDCG (@2: 0.1165, @5: 0.1552, @10: 0.1779)
Test epoch:72, time: 252.924932(s), Recall (@2: 0.1432, @5: 0.2169, @10: 0.2878), NDCG (@2: 0.1262, @5: 0.1593, @10: 0.1824)

Valid epoch:74, time: 260.332469(s), Recall (@2: 0.1332, @5: 0.2158, @10: 0.2911), NDCG (@2: 0.1159, @5: 0.1527, @10: 0.1770)
Test epoch:74, time: 260.332469(s), Recall (@2: 0.1447, @5: 0.2262, @10: 0.2956), NDCG (@2: 0.1278, @5: 0.1643, @10: 0.1865)

Valid epoch:76, time: 267.456275(s), Recall (@2: 0.1369, @5: 0.2178, @10: 0.2861), NDCG (@2: 0.1192, @5: 0.1551, @10: 0.1772)
Test epoch:76, time: 267.456275(s), Recall (@2: 0.1475, @5: 0.2216, @10: 0.2919), NDCG (@2: 0.1289, @5: 0.1622, @10: 0.1849)

Valid epoch:78, time: 274.432591(s), Recall (@2: 0.1376, @5: 0.2152, @10: 0.2874), NDCG (@2: 0.1195, @5: 0.1540, @10: 0.1775)
Test epoch:78, time: 274.432591(s), Recall (@2: 0.1356, @5: 0.2115, @10: 0.2840), NDCG (@2: 0.1196, @5: 0.1535, @10: 0.1769)

Valid epoch:80, time: 281.518615(s), Recall (@2: 0.1391, @5: 0.2206, @10: 0.2911), NDCG (@2: 0.1204, @5: 0.1570, @10: 0.1798)
Test epoch:80, time: 281.518615(s), Recall (@2: 0.1531, @5: 0.2318, @10: 0.3049), NDCG (@2: 0.1327, @5: 0.1679, @10: 0.1916)

Valid epoch:82, time: 288.714972(s), Recall (@2: 0.1317, @5: 0.2184, @10: 0.2932), NDCG (@2: 0.1141, @5: 0.1528, @10: 0.1769)
Test epoch:82, time: 288.714972(s), Recall (@2: 0.1466, @5: 0.2188, @10: 0.2917), NDCG (@2: 0.1282, @5: 0.1605, @10: 0.1840)

Valid epoch:84, time: 296.021461(s), Recall (@2: 0.1365, @5: 0.2214, @10: 0.2930), NDCG (@2: 0.1184, @5: 0.1563, @10: 0.1794)
