anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Test epoch:70, time: 285.552626(s), Recall (@2: 0.1458, @5: 0.2296, @10: 0.2999), NDCG (@2: 0.1274, @5: 0.1645, @10: 0.1873)

Valid epoch:72, time: 293.756639(s), Recall (@2: 0.1369, @5: 0.2199, @10: 0.2870), NDCG (@2: 0.1196, @5: 0.1567, @10: 0.1784)
Test epoch:72, time: 293.756639(s), Recall (@2: 0.1384, @5: 0.2275, @10: 0.2973), NDCG (@2: 0.1228, @5: 0.1626, @10: 0.1853)

Valid epoch:74, time: 301.685662(s), Recall (@2: 0.1380, @5: 0.2169, @10: 0.2846), NDCG (@2: 0.1195, @5: 0.1551, @10: 0.1770)
Test epoch:74, time: 301.685662(s), Recall (@2: 0.1473, @5: 0.2290, @10: 0.2986), NDCG (@2: 0.1286, @5: 0.1647, @10: 0.1873)

Valid epoch:76, time: 309.696288(s), Recall (@2: 0.1389, @5: 0.2178, @10: 0.2919), NDCG (@2: 0.1190, @5: 0.1541, @10: 0.1778)
Test epoch:76, time: 309.696288(s), Recall (@2: 0.1451, @5: 0.2242, @10: 0.3023), NDCG (@2: 0.1274, @5: 0.1622, @10: 0.1875)

Valid epoch:78, time: 317.775905(s), Recall (@2: 0.1354, @5: 0.2130, @10: 0.2926), NDCG (@2: 0.1177, @5: 0.1528, @10: 0.1784)
Test epoch:78, time: 317.775905(s), Recall (@2: 0.1434, @5: 0.2227, @10: 0.2962), NDCG (@2: 0.1272, @5: 0.1625, @10: 0.1863)

Valid epoch:80, time: 325.719428(s), Recall (@2: 0.1354, @5: 0.2104, @10: 0.2807), NDCG (@2: 0.1176, @5: 0.1511, @10: 0.1738)
Test epoch:80, time: 325.719428(s), Recall (@2: 0.1408, @5: 0.2197, @10: 0.2924), NDCG (@2: 0.1238, @5: 0.1590, @10: 0.1824)

Valid epoch:82, time: 333.733355(s), Recall (@2: 0.1339, @5: 0.2117, @10: 0.2857), NDCG (@2: 0.1151, @5: 0.1498, @10: 0.1737)
Test epoch:82, time: 333.733355(s), Recall (@2: 0.1438, @5: 0.2216, @10: 0.2904), NDCG (@2: 0.1271, @5: 0.1617, @10: 0.1839)

Valid epoch:84, time: 341.685932(s), Recall (@2: 0.1356, @5: 0.2130, @10: 0.2906), NDCG (@2: 0.1183, @5: 0.1530, @10: 0.1780)
Test epoch:84, time: 341.685932(s), Recall (@2: 0.1466, @5: 0.2223, @10: 0.2906), NDCG (@2: 0.1301, @5: 0.1639, @10: 0.1861)

Valid epoch:86, time: 349.504960(s), Recall (@2: 0.1361, @5: 0.2135, @10: 0.2818), NDCG (@2: 0.1179, @5: 0.1523, @10: 0.1745)
Test epoch:86, time: 349.504960(s), Recall (@2: 0.1414, @5: 0.2236, @10: 0.2919), NDCG (@2: 0.1237, @5: 0.1604, @10: 0.1825)

Valid epoch:88, time: 357.620352(s), Recall (@2: 0.1365, @5: 0.2163, @10: 0.2881), NDCG (@2: 0.1166, @5: 0.1526, @10: 0.1758)
Test epoch:88, time: 357.620352(s), Recall (@2: 0.1486, @5: 0.2305, @10: 0.3029), NDCG (@2: 0.1294, @5: 0.1659, @10: 0.1893)

Valid epoch:90, time: 365.977621(s), Recall (@2: 0.1326, @5: 0.2126, @10: 0.2876), NDCG (@2: 0.1149, @5: 0.1506, @10: 0.1748)
Test epoch:90, time: 365.977621(s), Recall (@2: 0.1432, @5: 0.2180, @10: 0.2870), NDCG (@2: 0.1255, @5: 0.1588, @10: 0.1811)

Valid epoch:92, time: 374.051165(s), Recall (@2: 0.1339, @5: 0.2135, @10: 0.2835), NDCG (@2: 0.1161, @5: 0.1518, @10: 0.1745)
Test epoch:92, time: 374.051165(s), Recall (@2: 0.1473, @5: 0.2257, @10: 0.2965), NDCG (@2: 0.1284, @5: 0.1635, @10: 0.1863)

Valid epoch:94, time: 382.120143(s), Recall (@2: 0.1345, @5: 0.2126, @10: 0.2816), NDCG (@2: 0.1179, @5: 0.1529, @10: 0.1751)
