anchor_num:300
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:66, time: 255.570274(s), Recall (@2: 0.1320, @5: 0.2152, @10: 0.2904), NDCG (@2: 0.1147, @5: 0.1517, @10: 0.1759)
Test epoch:66, time: 255.570274(s), Recall (@2: 0.1486, @5: 0.2251, @10: 0.2999), NDCG (@2: 0.1311, @5: 0.1653, @10: 0.1895)

Valid epoch:68, time: 263.412902(s), Recall (@2: 0.1337, @5: 0.2141, @10: 0.2896), NDCG (@2: 0.1156, @5: 0.1519, @10: 0.1762)
Test epoch:68, time: 263.412902(s), Recall (@2: 0.1458, @5: 0.2191, @10: 0.2909), NDCG (@2: 0.1281, @5: 0.1610, @10: 0.1843)

Valid epoch:70, time: 271.103520(s), Recall (@2: 0.1339, @5: 0.2128, @10: 0.2863), NDCG (@2: 0.1168, @5: 0.1523, @10: 0.1758)
Test epoch:70, time: 271.103520(s), Recall (@2: 0.1488, @5: 0.2206, @10: 0.2982), NDCG (@2: 0.1303, @5: 0.1623, @10: 0.1874)

Valid epoch:72, time: 278.790584(s), Recall (@2: 0.1335, @5: 0.2141, @10: 0.2850), NDCG (@2: 0.1165, @5: 0.1524, @10: 0.1753)
Test epoch:72, time: 278.790584(s), Recall (@2: 0.1436, @5: 0.2249, @10: 0.2962), NDCG (@2: 0.1258, @5: 0.1624, @10: 0.1855)

Valid epoch:74, time: 286.738614(s), Recall (@2: 0.1358, @5: 0.2143, @10: 0.2887), NDCG (@2: 0.1181, @5: 0.1531, @10: 0.1770)
Test epoch:74, time: 286.738614(s), Recall (@2: 0.1483, @5: 0.2247, @10: 0.2980), NDCG (@2: 0.1303, @5: 0.1644, @10: 0.1881)

Valid epoch:76, time: 294.748806(s), Recall (@2: 0.1384, @5: 0.2184, @10: 0.2913), NDCG (@2: 0.1201, @5: 0.1559, @10: 0.1793)
Test epoch:76, time: 294.748806(s), Recall (@2: 0.1455, @5: 0.2262, @10: 0.2943), NDCG (@2: 0.1287, @5: 0.1648, @10: 0.1868)

Valid epoch:78, time: 302.244048(s), Recall (@2: 0.1358, @5: 0.2150, @10: 0.2883), NDCG (@2: 0.1190, @5: 0.1543, @10: 0.1779)
Test epoch:78, time: 302.244048(s), Recall (@2: 0.1425, @5: 0.2188, @10: 0.2883), NDCG (@2: 0.1254, @5: 0.1596, @10: 0.1820)

Valid epoch:80, time: 309.962843(s), Recall (@2: 0.1391, @5: 0.2096, @10: 0.2820), NDCG (@2: 0.1201, @5: 0.1515, @10: 0.1750)
Test epoch:80, time: 309.962843(s), Recall (@2: 0.1427, @5: 0.2191, @10: 0.2893), NDCG (@2: 0.1253, @5: 0.1593, @10: 0.1822)

Valid epoch:82, time: 317.456624(s), Recall (@2: 0.1352, @5: 0.2150, @10: 0.2840), NDCG (@2: 0.1170, @5: 0.1528, @10: 0.1751)
Test epoch:82, time: 317.456624(s), Recall (@2: 0.1432, @5: 0.2204, @10: 0.2919), NDCG (@2: 0.1249, @5: 0.1594, @10: 0.1825)

Valid epoch:84, time: 325.149034(s), Recall (@2: 0.1371, @5: 0.2147, @10: 0.2850), NDCG (@2: 0.1193, @5: 0.1540, @10: 0.1767)
Test epoch:84, time: 325.149034(s), Recall (@2: 0.1492, @5: 0.2208, @10: 0.2898), NDCG (@2: 0.1295, @5: 0.1614, @10: 0.1838)

Valid epoch:86, time: 332.755157(s), Recall (@2: 0.1337, @5: 0.2119, @10: 0.2807), NDCG (@2: 0.1171, @5: 0.1523, @10: 0.1745)
Test epoch:86, time: 332.755157(s), Recall (@2: 0.1410, @5: 0.2152, @10: 0.2868), NDCG (@2: 0.1249, @5: 0.1585, @10: 0.1816)

Valid epoch:88, time: 340.462498(s), Recall (@2: 0.1371, @5: 0.2221, @10: 0.2833), NDCG (@2: 0.1189, @5: 0.1568, @10: 0.1764)
Test epoch:88, time: 340.462498(s), Recall (@2: 0.1438, @5: 0.2204, @10: 0.2924), NDCG (@2: 0.1270, @5: 0.1612, @10: 0.1846)

